Minutes5UTC;Minutes5DK;PriceArea;CO2Emission
2024-01-10 23:00;2024-01-11 00:00;DK2;89,000000
2024-01-10 23:05;2024-01-11 00:05;DK2;85,000000
2024-01-10 23:10;2024-01-11 00:10;DK2;85,000000
2024-01-10 23:15;2024-01-11 00:15;DK2;86,000000
2024-01-10 23:20;2024-01-11 00:20;DK2;86,000000
2024-01-10 23:25;2024-01-11 00:25;DK2;85,000000
2024-01-10 23:30;2024-01-11 00:30;DK2;85,000000
2024-01-10 23:35;2024-01-11 00:35;DK2;81,000000
2024-01-10 23:40;2024-01-11 00:40;DK2;80,000000
2024-01-10 23:45;2024-01-11 00:45;DK2;80,000000
2024-01-10 23:50;2024-01-11 00:50;DK2;79,000000
2024-01-10 23:55;2024-01-11 00:55;DK2;78,000000
2024-01-11 00:00;2024-01-11 01:00;DK2;74,000000
2024-01-11 00:05;2024-01-11 01:05;DK2;73,000000
2024-01-11 00:10;2024-01-11 01:10;DK2;71,000000
2024-01-11 00:15;2024-01-11 01:15;DK2;70,000000
2024-01-11 00:20;2024-01-11 01:20;DK2;70,000000
2024-01-11 00:25;2024-01-11 01:25;DK2;70,000000
2024-01-11 00:30;2024-01-11 01:30;DK2;69,000000
2024-01-11 00:35;2024-01-11 01:35;DK2;69,000000
2024-01-11 00:40;2024-01-11 01:40;DK2;66,000000
2024-01-11 00:45;2024-01-11 01:45;DK2;65,000000
2024-01-11 00:50;2024-01-11 01:50;DK2;65,000000
2024-01-11 00:55;2024-01-11 01:55;DK2;65,000000
2024-01-11 01:00;2024-01-11 02:00;DK2;64,000000
2024-01-11 01:05;2024-01-11 02:05;DK2;65,000000
2024-01-11 01:10;2024-01-11 02:10;DK2;63,000000
2024-01-11 01:15;2024-01-11 02:15;DK2;64,000000
2024-01-11 01:20;2024-01-11 02:20;DK2;63,000000
2024-01-11 01:25;2024-01-11 02:25;DK2;63,000000
2024-01-11 01:30;2024-01-11 02:30;DK2;63,000000
2024-01-11 01:35;2024-01-11 02:35;DK2;63,000000
2024-01-11 01:40;2024-01-11 02:40;DK2;62,000000
2024-01-11 01:45;2024-01-11 02:45;DK2;62,000000
2024-01-11 01:50;2024-01-11 02:50;DK2;61,000000
2024-01-11 01:55;2024-01-11 02:55;DK2;61,000000
2024-01-11 02:00;2024-01-11 03:00;DK2;61,000000
2024-01-11 02:05;2024-01-11 03:05;DK2;62,000000
2024-01-11 02:10;2024-01-11 03:10;DK2;61,000000
2024-01-11 02:15;2024-01-11 03:15;DK2;61,000000
2024-01-11 02:20;2024-01-11 03:20;DK2;62,000000
2024-01-11 02:25;2024-01-11 03:25;DK2;61,000000
2024-01-11 02:30;2024-01-11 03:30;DK2;61,000000
2024-01-11 02:35;2024-01-11 03:35;DK2;62,000000
2024-01-11 02:40;2024-01-11 03:40;DK2;62,000000
2024-01-11 02:45;2024-01-11 03:45;DK2;62,000000
2024-01-11 02:50;2024-01-11 03:50;DK2;61,000000
2024-01-11 02:55;2024-01-11 03:55;DK2;61,000000
2024-01-11 03:00;2024-01-11 04:00;DK2;60,000000
2024-01-11 03:05;2024-01-11 04:05;DK2;60,000000
2024-01-11 03:10;2024-01-11 04:10;DK2;60,000000
2024-01-11 03:15;2024-01-11 04:15;DK2;60,000000
2024-01-11 03:20;2024-01-11 04:20;DK2;59,000000
2024-01-11 03:25;2024-01-11 04:25;DK2;59,000000
2024-01-11 03:30;2024-01-11 04:30;DK2;60,000000
2024-01-11 03:35;2024-01-11 04:35;DK2;60,000000
2024-01-11 03:40;2024-01-11 04:40;DK2;60,000000
2024-01-11 03:45;2024-01-11 04:45;DK2;59,000000
2024-01-11 03:50;2024-01-11 04:50;DK2;60,000000
2024-01-11 03:55;2024-01-11 04:55;DK2;60,000000
2024-01-11 04:00;2024-01-11 05:00;DK2;62,000000
2024-01-11 04:05;2024-01-11 05:05;DK2;62,000000
2024-01-11 04:10;2024-01-11 05:10;DK2;64,000000
2024-01-11 04:15;2024-01-11 05:15;DK2;66,000000
2024-01-11 04:20;2024-01-11 05:20;DK2;66,000000
2024-01-11 04:25;2024-01-11 05:25;DK2;66,000000
2024-01-11 04:30;2024-01-11 05:30;DK2;67,000000
2024-01-11 04:35;2024-01-11 05:35;DK2;67,000000
2024-01-11 04:40;2024-01-11 05:40;DK2;67,000000
2024-01-11 04:45;2024-01-11 05:45;DK2;67,000000
2024-01-11 04:50;2024-01-11 05:50;DK2;67,000000
2024-01-11 04:55;2024-01-11 05:55;DK2;66,000000
2024-01-11 05:00;2024-01-11 06:00;DK2;67,000000
2024-01-11 05:05;2024-01-11 06:05;DK2;67,000000
2024-01-11 05:10;2024-01-11 06:10;DK2;70,000000
2024-01-11 05:15;2024-01-11 06:15;DK2;71,000000
2024-01-11 05:20;2024-01-11 06:20;DK2;72,000000
2024-01-11 05:25;2024-01-11 06:25;DK2;72,000000
2024-01-11 05:30;2024-01-11 06:30;DK2;67,000000
2024-01-11 05:35;2024-01-11 06:35;DK2;62,000000
2024-01-11 05:40;2024-01-11 06:40;DK2;61,000000
2024-01-11 05:45;2024-01-11 06:45;DK2;60,000000
2024-01-11 05:50;2024-01-11 06:50;DK2;62,000000
2024-01-11 05:55;2024-01-11 06:55;DK2;65,000000
2024-01-11 06:00;2024-01-11 07:00;DK2;76,000000
2024-01-11 06:05;2024-01-11 07:05;DK2;85,000000
2024-01-11 06:10;2024-01-11 07:10;DK2;88,000000
2024-01-11 06:15;2024-01-11 07:15;DK2;89,000000
2024-01-11 06:20;2024-01-11 07:20;DK2;89,000000
2024-01-11 06:25;2024-01-11 07:25;DK2;88,000000
2024-01-11 06:30;2024-01-11 07:30;DK2;88,000000
2024-01-11 06:35;2024-01-11 07:35;DK2;87,000000
2024-01-11 06:40;2024-01-11 07:40;DK2;87,000000
2024-01-11 06:45;2024-01-11 07:45;DK2;87,000000
2024-01-11 06:50;2024-01-11 07:50;DK2;86,000000
2024-01-11 06:55;2024-01-11 07:55;DK2;84,000000
2024-01-11 07:00;2024-01-11 08:00;DK2;82,000000
2024-01-11 07:05;2024-01-11 08:05;DK2;82,000000
2024-01-11 07:10;2024-01-11 08:10;DK2;80,000000
2024-01-11 07:15;2024-01-11 08:15;DK2;79,000000
2024-01-11 07:20;2024-01-11 08:20;DK2;79,000000
2024-01-11 07:25;2024-01-11 08:25;DK2;80,000000
2024-01-11 07:30;2024-01-11 08:30;DK2;81,000000
2024-01-11 07:35;2024-01-11 08:35;DK2;80,000000
2024-01-11 07:40;2024-01-11 08:40;DK2;81,000000
2024-01-11 07:45;2024-01-11 08:45;DK2;82,000000
2024-01-11 07:50;2024-01-11 08:50;DK2;82,000000
2024-01-11 07:55;2024-01-11 08:55;DK2;83,000000
2024-01-11 08:00;2024-01-11 09:00;DK2;84,000000
2024-01-11 08:05;2024-01-11 09:05;DK2;84,000000
2024-01-11 08:10;2024-01-11 09:10;DK2;85,000000
2024-01-11 08:15;2024-01-11 09:15;DK2;86,000000
2024-01-11 08:20;2024-01-11 09:20;DK2;86,000000
2024-01-11 08:25;2024-01-11 09:25;DK2;88,000000
2024-01-11 08:30;2024-01-11 09:30;DK2;88,000000
2024-01-11 08:35;2024-01-11 09:35;DK2;88,000000
2024-01-11 08:40;2024-01-11 09:40;DK2;88,000000
2024-01-11 08:45;2024-01-11 09:45;DK2;89,000000
2024-01-11 08:50;2024-01-11 09:50;DK2;90,000000
2024-01-11 08:55;2024-01-11 09:55;DK2;91,000000
2024-01-11 09:00;2024-01-11 10:00;DK2;91,000000
2024-01-11 09:05;2024-01-11 10:05;DK2;92,000000
2024-01-11 09:10;2024-01-11 10:10;DK2;93,000000
2024-01-11 09:15;2024-01-11 10:15;DK2;94,000000
2024-01-11 09:20;2024-01-11 10:20;DK2;94,000000
2024-01-11 09:25;2024-01-11 10:25;DK2;94,000000
2024-01-11 09:30;2024-01-11 10:30;DK2;95,000000
2024-01-11 09:35;2024-01-11 10:35;DK2;95,000000
2024-01-11 09:40;2024-01-11 10:40;DK2;93,000000
2024-01-11 09:45;2024-01-11 10:45;DK2;92,000000
2024-01-11 09:50;2024-01-11 10:50;DK2;90,000000
2024-01-11 09:55;2024-01-11 10:55;DK2;81,000000
2024-01-11 10:00;2024-01-11 11:00;DK2;71,000000
2024-01-11 10:05;2024-01-11 11:05;DK2;62,000000
2024-01-11 10:10;2024-01-11 11:10;DK2;62,000000
2024-01-11 10:15;2024-01-11 11:15;DK2;62,000000
2024-01-11 10:20;2024-01-11 11:20;DK2;60,000000
2024-01-11 10:25;2024-01-11 11:25;DK2;60,000000
2024-01-11 10:30;2024-01-11 11:30;DK2;60,000000
2024-01-11 10:35;2024-01-11 11:35;DK2;61,000000
2024-01-11 10:40;2024-01-11 11:40;DK2;61,000000
2024-01-11 10:45;2024-01-11 11:45;DK2;61,000000
2024-01-11 10:50;2024-01-11 11:50;DK2;61,000000
2024-01-11 10:55;2024-01-11 11:55;DK2;61,000000
2024-01-11 11:00;2024-01-11 12:00;DK2;62,000000
2024-01-11 11:05;2024-01-11 12:05;DK2;63,000000
2024-01-11 11:10;2024-01-11 12:10;DK2;65,000000
2024-01-11 11:15;2024-01-11 12:15;DK2;67,000000
2024-01-11 11:20;2024-01-11 12:20;DK2;66,000000
2024-01-11 11:25;2024-01-11 12:25;DK2;66,000000
2024-01-11 11:30;2024-01-11 12:30;DK2;67,000000
2024-01-11 11:35;2024-01-11 12:35;DK2;68,000000
2024-01-11 11:40;2024-01-11 12:40;DK2;68,000000
2024-01-11 11:45;2024-01-11 12:45;DK2;68,000000
2024-01-11 11:50;2024-01-11 12:50;DK2;68,000000
2024-01-11 11:55;2024-01-11 12:55;DK2;67,000000
2024-01-11 12:00;2024-01-11 13:00;DK2;66,000000
2024-01-11 12:05;2024-01-11 13:05;DK2;66,000000
2024-01-11 12:10;2024-01-11 13:10;DK2;69,000000
2024-01-11 12:15;2024-01-11 13:15;DK2;69,000000
2024-01-11 12:20;2024-01-11 13:20;DK2;69,000000
2024-01-11 12:25;2024-01-11 13:25;DK2;69,000000
2024-01-11 12:30;2024-01-11 13:30;DK2;69,000000
2024-01-11 12:35;2024-01-11 13:35;DK2;69,000000
2024-01-11 12:40;2024-01-11 13:40;DK2;69,000000
2024-01-11 12:45;2024-01-11 13:45;DK2;69,000000
2024-01-11 12:50;2024-01-11 13:50;DK2;67,000000
2024-01-11 12:55;2024-01-11 13:55;DK2;66,000000
2024-01-11 13:00;2024-01-11 14:00;DK2;65,000000
2024-01-11 13:05;2024-01-11 14:05;DK2;71,000000
2024-01-11 13:10;2024-01-11 14:10;DK2;70,000000
2024-01-11 13:15;2024-01-11 14:15;DK2;69,000000
2024-01-11 13:20;2024-01-11 14:20;DK2;69,000000
2024-01-11 13:25;2024-01-11 14:25;DK2;69,000000
2024-01-11 13:30;2024-01-11 14:30;DK2;68,000000
2024-01-11 13:35;2024-01-11 14:35;DK2;68,000000
2024-01-11 13:40;2024-01-11 14:40;DK2;68,000000
2024-01-11 13:45;2024-01-11 14:45;DK2;67,000000
2024-01-11 13:50;2024-01-11 14:50;DK2;65,000000
2024-01-11 13:55;2024-01-11 14:55;DK2;65,000000
2024-01-11 14:00;2024-01-11 15:00;DK2;74,000000
2024-01-11 14:05;2024-01-11 15:05;DK2;82,000000
2024-01-11 14:10;2024-01-11 15:10;DK2;84,000000
2024-01-11 14:15;2024-01-11 15:15;DK2;85,000000
2024-01-11 14:20;2024-01-11 15:20;DK2;85,000000
2024-01-11 14:25;2024-01-11 15:25;DK2;85,000000
2024-01-11 14:30;2024-01-11 15:30;DK2;86,000000
2024-01-11 14:35;2024-01-11 15:35;DK2;86,000000
2024-01-11 14:40;2024-01-11 15:40;DK2;86,000000
2024-01-11 14:45;2024-01-11 15:45;DK2;86,000000
2024-01-11 14:50;2024-01-11 15:50;DK2;87,000000
2024-01-11 14:55;2024-01-11 15:55;DK2;98,000000
2024-01-11 15:00;2024-01-11 16:00;DK2;108,000000
2024-01-11 15:05;2024-01-11 16:05;DK2;116,000000
2024-01-11 15:10;2024-01-11 16:10;DK2;124,000000
2024-01-11 15:15;2024-01-11 16:15;DK2;127,000000
2024-01-11 15:20;2024-01-11 16:20;DK2;127,000000
2024-01-11 15:25;2024-01-11 16:25;DK2;127,000000
2024-01-11 15:30;2024-01-11 16:30;DK2;128,000000
2024-01-11 15:35;2024-01-11 16:35;DK2;128,000000
2024-01-11 15:40;2024-01-11 16:40;DK2;128,000000
2024-01-11 15:45;2024-01-11 16:45;DK2;129,000000
2024-01-11 15:50;2024-01-11 16:50;DK2;128,000000
2024-01-11 15:55;2024-01-11 16:55;DK2;129,000000
2024-01-11 16:00;2024-01-11 17:00;DK2;132,000000
2024-01-11 16:05;2024-01-11 17:05;DK2;134,000000
2024-01-11 16:10;2024-01-11 17:10;DK2;136,000000
2024-01-11 16:15;2024-01-11 17:15;DK2;135,000000
2024-01-11 16:20;2024-01-11 17:20;DK2;135,000000
2024-01-11 16:25;2024-01-11 17:25;DK2;135,000000
2024-01-11 16:30;2024-01-11 17:30;DK2;136,000000
2024-01-11 16:35;2024-01-11 17:35;DK2;136,000000
2024-01-11 16:40;2024-01-11 17:40;DK2;136,000000
2024-01-11 16:45;2024-01-11 17:45;DK2;137,000000
2024-01-11 16:50;2024-01-11 17:50;DK2;137,000000
2024-01-11 16:55;2024-01-11 17:55;DK2;133,000000
2024-01-11 17:00;2024-01-11 18:00;DK2;129,000000
2024-01-11 17:05;2024-01-11 18:05;DK2;124,000000
2024-01-11 17:10;2024-01-11 18:10;DK2;119,000000
2024-01-11 17:15;2024-01-11 18:15;DK2;118,000000
2024-01-11 17:20;2024-01-11 18:20;DK2;119,000000
2024-01-11 17:25;2024-01-11 18:25;DK2;119,000000
2024-01-11 17:30;2024-01-11 18:30;DK2;119,000000
2024-01-11 17:35;2024-01-11 18:35;DK2;120,000000
2024-01-11 17:40;2024-01-11 18:40;DK2;120,000000
2024-01-11 17:45;2024-01-11 18:45;DK2;121,000000
2024-01-11 17:50;2024-01-11 18:50;DK2;120,000000
2024-01-11 17:55;2024-01-11 18:55;DK2;120,000000
2024-01-11 18:00;2024-01-11 19:00;DK2;121,000000
2024-01-11 18:05;2024-01-11 19:05;DK2;121,000000
2024-01-11 18:10;2024-01-11 19:10;DK2;121,000000
2024-01-11 18:15;2024-01-11 19:15;DK2;122,000000
2024-01-11 18:20;2024-01-11 19:20;DK2;122,000000
2024-01-11 18:25;2024-01-11 19:25;DK2;122,000000
2024-01-11 18:30;2024-01-11 19:30;DK2;122,000000
2024-01-11 18:35;2024-01-11 19:35;DK2;122,000000
2024-01-11 18:40;2024-01-11 19:40;DK2;122,000000
2024-01-11 18:45;2024-01-11 19:45;DK2;123,000000
2024-01-11 18:50;2024-01-11 19:50;DK2;125,000000
2024-01-11 18:55;2024-01-11 19:55;DK2;127,000000
2024-01-11 19:00;2024-01-11 20:00;DK2;135,000000
2024-01-11 19:05;2024-01-11 20:05;DK2;143,000000
2024-01-11 19:10;2024-01-11 20:10;DK2;145,000000
2024-01-11 19:15;2024-01-11 20:15;DK2;148,000000
2024-01-11 19:20;2024-01-11 20:20;DK2;148,000000
2024-01-11 19:25;2024-01-11 20:25;DK2;148,000000
2024-01-11 19:30;2024-01-11 20:30;DK2;149,000000
2024-01-11 19:35;2024-01-11 20:35;DK2;149,000000
2024-01-11 19:40;2024-01-11 20:40;DK2;149,000000
2024-01-11 19:45;2024-01-11 20:45;DK2;149,000000
2024-01-11 19:50;2024-01-11 20:50;DK2;147,000000
2024-01-11 19:55;2024-01-11 20:55;DK2;144,000000
2024-01-11 20:00;2024-01-11 21:00;DK2;137,000000
2024-01-11 20:05;2024-01-11 21:05;DK2;129,000000
2024-01-11 20:10;2024-01-11 21:10;DK2;126,000000
2024-01-11 20:15;2024-01-11 21:15;DK2;123,000000
2024-01-11 20:20;2024-01-11 21:20;DK2;124,000000
2024-01-11 20:25;2024-01-11 21:25;DK2;124,000000
2024-01-11 20:30;2024-01-11 21:30;DK2;124,000000
2024-01-11 20:35;2024-01-11 21:35;DK2;124,000000
2024-01-11 20:40;2024-01-11 21:40;DK2;124,000000
2024-01-11 20:45;2024-01-11 21:45;DK2;124,000000
2024-01-11 20:50;2024-01-11 21:50;DK2;124,000000
2024-01-11 20:55;2024-01-11 21:55;DK2;124,000000
2024-01-11 21:00;2024-01-11 22:00;DK2;120,000000
2024-01-11 21:05;2024-01-11 22:05;DK2;113,000000
2024-01-11 21:10;2024-01-11 22:10;DK2;112,000000
2024-01-11 21:15;2024-01-11 22:15;DK2;112,000000
2024-01-11 21:20;2024-01-11 22:20;DK2;113,000000
2024-01-11 21:25;2024-01-11 22:25;DK2;113,000000
2024-01-11 21:30;2024-01-11 22:30;DK2;113,000000
2024-01-11 21:35;2024-01-11 22:35;DK2;113,000000
2024-01-11 21:40;2024-01-11 22:40;DK2;113,000000
2024-01-11 21:45;2024-01-11 22:45;DK2;113,000000
2024-01-11 21:50;2024-01-11 22:50;DK2;113,000000
2024-01-11 21:55;2024-01-11 22:55;DK2;114,000000
2024-01-11 22:00;2024-01-11 23:00;DK2;114,000000
2024-01-11 22:05;2024-01-11 23:05;DK2;114,000000
2024-01-11 22:10;2024-01-11 23:10;DK2;114,000000
2024-01-11 22:15;2024-01-11 23:15;DK2;115,000000
2024-01-11 22:20;2024-01-11 23:20;DK2;115,000000
2024-01-11 22:25;2024-01-11 23:25;DK2;115,000000
2024-01-11 22:30;2024-01-11 23:30;DK2;115,000000
2024-01-11 22:35;2024-01-11 23:35;DK2;115,000000
2024-01-11 22:40;2024-01-11 23:40;DK2;115,000000
2024-01-11 22:45;2024-01-11 23:45;DK2;115,000000
2024-01-11 22:50;2024-01-11 23:50;DK2;113,000000
2024-01-11 22:55;2024-01-11 23:55;DK2;110,000000
